file,severity,score,tier,flags
malware-plasma.yaml,critical,50,3-acceptable,no_http_block
malware-poetrat.yaml,critical,50,3-acceptable,no_http_block
malware-pony.yaml,critical,50,3-acceptable,no_http_block
malware-pubsab.yaml,critical,50,3-acceptable,no_http_block
malware-punisher.yaml,critical,50,3-acceptable,no_http_block
malware-pypi.yaml,critical,50,3-acceptable,no_http_block
malware-pythorat.yaml,critical,50,3-acceptable,no_http_block
malware-qrat.yaml,critical,50,3-acceptable,no_http_block
malware-satana-dropper.yaml,critical,50,3-acceptable,no_http_block
malware-satana.yaml,critical,50,3-acceptable,no_http_block
malware-shimrat.yaml,critical,50,3-acceptable,no_http_block
malware-shimratreporter.yaml,critical,50,3-acceptable,no_http_block
malware-sigma.yaml,critical,50,3-acceptable,no_http_block
malware-smallnet.yaml,critical,50,3-acceptable,no_http_block
malware-snake.yaml,critical,50,3-acceptable,no_http_block
malware-sub7nation.yaml,critical,50,3-acceptable,no_http_block
malware-t5000.yaml,critical,50,3-acceptable,no_http_block
malware-tedroo.yaml,critical,50,3-acceptable,no_http_block
malware-terminator.yaml,critical,50,3-acceptable,no_http_block
malware-teslacrypt.yaml,critical,50,3-acceptable,no_http_block
malware-tox.yaml,critical,50,3-acceptable,no_http_block
malware-treasurehunt.yaml,critical,50,3-acceptable,no_http_block
malware-trickbot.yaml,critical,50,3-acceptable,no_http_block
malware-trumpbot.yaml,critical,50,3-acceptable,no_http_block
malware-universal-1337.yaml,critical,50,3-acceptable,no_http_block
malware-unrecom.yaml,critical,50,3-acceptable,no_http_block
malware-urausy.yaml,critical,50,3-acceptable,no_http_block
malware-vertex.yaml,critical,50,3-acceptable,no_http_block
malware-virusrat.yaml,critical,50,3-acceptable,no_http_block
malware-wabot.yaml,critical,50,3-acceptable,no_http_block
malware-warp.yaml,critical,50,3-acceptable,no_http_block
malware-xhide.yaml,critical,50,3-acceptable,no_http_block
malware-xor-ddos.yaml,critical,50,3-acceptable,no_http_block
malware-yayih.yaml,critical,50,3-acceptable,no_http_block
